question,answer
"The three stages in the engineering design process are: ____________, ______________, and _______________.
","Define, Develop Solutions, Optimize
"
"The top-to-bottom sequence of Coder cards in a Coder project corresponds to ______.
","the order in which the 123 Robot will perform the actions"
"The Touch LED can ______.","detect when your finger touches the top, and can display a variety of colors"
"The Touch LED can ______. Select the best answer.
","All of the above"
"The transparent lids of VEX GO storage cases help students and teachers quickly recognize ______.","When parts are missing from a VEX GO kit"
"The two sides of the Fractions build are _____________ in order to represent _________.","The same size; equivalent fractions"
"The VEX Classroom App allows teachers to ______. Select the best answer.","update the firmware on 123 Robots and Coders"
"The VEX Classroom App ______.","helps users manage their classroom's 123 Robots and Coders"
"The VEX GO Brain can report heading values in degrees.

",True
"The VEX GO Brain can report headings in a range of ______.
","0 to 359.99 degrees "
"The VEX GO Brain can report rotation values in degrees. 

",True
"The VEX GO Brain reports acceleration on which of the following axes?
","X, Y, and Z"
"The VEX GO part shown in this image is a _________________.",Battery
"The VEX Library contains articles about the Workcell to support ______. Select the best answer.
","All of the above"
"The VEX Library hosts a wide variety of articles that answer users' common questions about hardware, software, and implementation of VEX with students.",True
"The web-based version of VEXcode V5 is made for use with _____________.","Chrome-based browsers
"
"The [Broadcast] block ______.","is used to trigger robot behaviors"
"The [Drive for] block moves a GO robot ______.
","forward or in reverse a specific distance"
"The [Turn for] block is used to turn a robot right or left a specific number of degrees.
",True
"The [Turn for] block turns a GO robot ______.
","left or right a specified number of degrees"
"The [Wait until] block is a Control block that accepts Boolean values.
",True
"The [Wait until] block is a ______.
","Control block that accepts Boolean values"
"The [Wait until] block is a ______.","Control block that accepts Boolean values"
"The ______ block allows you to set parameters for direction, distance, and units.","[Drive for]"
"The ____________ portion of a VEX 123 STEM Lab is an introduction to the lesson where students can make a personal connection to what they will be learning about.
",Engage
"The ________________ in the VEX EXP Kit bins help you know where to put pieces back when you deconstruct a build.","Images of the pieces underneath the clear plastic"
"The ________________  in the VEX IQ (2nd gen) Kit bins help you know where to put pieces back when you deconstruct a build.","Images of the pieces underneath the clear plastic"
"The _________________ section of a STEM Lab shows where and how aligned standards are met within the Lab lesson.
","Goals and Standards

"
"The __________________ in the VEX GO Kit boxes help you know where to put pieces back when you deconstruct a build.","Images of the pieces underneath the clear plastic"
"The __________________ is designed to be used to introduce students to the 123 Robot.","Meet Your Robot PDF Storybook
"
"The “Get Ready…Get VEX…GO!” storybook introduces the VEX GO kit to your students, and ______.","Walks them through a simple build with just a few basic parts"
"This button will cause the robot to do which of the following:
","Drive forward 1 step
"
"This button will cause the robot to do which of the following: 
","Turn right 90 degrees"
"This button will cause the robot to do which of the following:","Turn left 90 degrees"
"This image in the build instructions shows which of the following?","The way the loose pieces in the build instructions fit into both sides of the Fractions build to show equivalent fractions"
"This pink arrow symbol in build instructions signifies which of the following?","Remove the pieces shown from the existing build"
"This project is intended to drive to number '6' on the Number Grid Map Playground but does not work. Number '6' has the coordinates X: 50 and Y: -900. What is the error?
","The [Wait until] block should contain a <Greater than> block instead of a <Less than> block"
"This project is intended to drive to number '61' on the Number Grid Map Playground but does not work. Number '61' has the coordinates X: -900 and Y: 300. What is the error?
","This project should use a <Greater than> block instead of a <Less than> block and keep the same parameters"
"This project is intended to drive to number '9' on the Number Grid Map Playground but the project is incomplete. What block from the Sensing category should be placed in the first [Wait until] block?
","(Position of Robot) block"
"This project is intended to drive to number “91" on the Number Grid Map Playground but the project is incomplete. What block from the Sensing category should be placed in the first [Wait until] block?
","(Position of Robot) block"
"This project was used to draw a house on the Art Canvas Playground, but it does not work correctly. What is the error?
","The [Repeat] block was set to three, but it should be set to four in order to draw the square portion of the house"
"This project was used to drive the VR Robot from Start to the number '1' in the Wall Maze Playground, but does not work correctly. What is the error?
","The last [Turn for] should be right instead of left."
"This project was used to drive the VR Robot to number "25" on the Number Grid Map, but it does not work correctly. What is the error?
","Wait until position Y in millimeters (mm) should be GREATER than -500, not LESS than"
"This project was used to drive the VR Robot to number "4" on the Number Grid Map, but it does not work correctly. What is the error?
","The [Turn for] block should be the first block in the project, not the last"
"This sequence of Touch button presses will cause the 123 Robot to: 
","Drive forward 1 step, Turn left 90 degrees, Drive forward 1 step, Turn right 90 degrees, then Play a honk sound
"
"This symbol in build instructions signifies which of the following?","Pay attention to the orientation of a piece, to be sure it is facing the proper direction in the build"
"To change the Radio type from VEXnet to Bluetooth, a user needs to _________.","Select’ Settings’ then ‘Radio Type’
"
"To ensure accurate data collection during this investigation, it is important that the Super Car is ______________________.","Set up precisely at the same starting location for each trial"
"To ensure that the data collection in this investigation is accurate, you should __________.","Start the stopwatch at the exact same time as pressing the Switch forward"
"To help students internalize the Robot Rules they have helped to create, offer opportunities to ______________, like ______________. 
","Practice the rules; role playing scenarios to show how to follow the rules when working together
"
"To run the Drive program on the controller, which of the following is true?","Select the “Drive” option from the Home screen on the Controller and select “Run.”"
"To run the Driver Control program on the Robot Brain, select ______, then select "Run."",""Driver Control" (1st gen) or "Drive" (2nd gen) on the IQ Brain"
"Troubleshooting is a systematic method for identifying and resolving a problem. 
",True
"True or False: A blinking green light indicates that the Controller and Brain are paired.
",True
"True or False: A blinking green light indicates that the Controller and Brain are paired.",True
"TRUE or FALSE: A programming language is a spoken language used to communicate with the VR Robot.
",False
"True or False: A user can change the behavior of a robot by changing the commands.
",True
"True or False: A V5 Radio is required in order to wirelessly pair the Controller to the V5 Brain
",True
"True or False: A V5 Robot Radio is needed for a wireless connection.",True
"True or False: A VIQC Engineering Notebook is used to document a team's design process over the season.
",True
"TRUE or FALSE: Activities can be used as part of a teacher's lesson, as an extension activity, or as a scaffolding strategy to support differentiated learning.
",True
"True or False: All awards at an event can qualify teams to a Championship event.
",False
"True or False: Block-based coding can be an effective way to introduce programming to novices.
",True
"True or false: Bumper switches must be connected to ports next to each other in the Vex V5 Robot Brain for them to work.
",False
"TRUE or FALSE: Capturing a shaft is when you affix a component to a shaft so it will spin with the shaft, while also keeping the shaft from sliding back and forth, or keeping a part from sliding back and forth on a shaft.",True
"True or False: Comments allow users to make their project more readable for other users.
",True
"True or False: Comments can be added to a project by right clicking or long pressing in the Workspace to launch the Context Menu. Then select "Add Comment".
",False
"True or False: Conditions, like the number of times repeated, are used to end a [Repeat] block.

",True
"TRUE or FALSE: Each Unit of the VEX V5 Workcell Educator Certification reviews the activities of a STEM Lab or the Workcell Extensions and how to facilitate those activities. 
",True
"True or False: In a VIQC Driver Skills match, the two Drivers can switch their controller at any time during the match.
",False
"TRUE or FALSE: In the image shown here, the Art Ring is CORRECTLY aligned with the 123 Robot and is ready to be snapped into place.
",True
"True or False: In this project, multiple [If then] blocks are used to check different conditions, and perform associated behaviors based on the these conditions.
",True
"True or False: In this project, the VR Robot will drive along the X-axis until the value of the Location Sensor is greater than -100
",True
"TRUE or FALSE: Multiple projects can be saved to the V5 Brain. ",True
"TRUE or FALSE: Neural pathways built by learning motor milestones as infants are used later for higher order cognitive learning in school.",True
"True or False: Python can only be accessed with an active VEXcode VR subscription.",True
"True or False: STEM Labs contain references to tutorial videos and articles from the VEX Library.
",True
"True or False: Tank Drive uses a single Joystick to control both the Left and Right Motors and Arcade Control uses both Joysticks.",False
"True or False: The <Color sensing> block is a Boolean block that reports TRUE when the Eye Sensor detects a selected color, and FALSE when it detects a different color than the one selected.
",True
"TRUE or FALSE: The addition of standoffs to the Workcell can help improve the flow of disks.
",True
"True or False: The Eye Sensor can detect if there is an object present and if so, the color of that object.
",True
"TRUE or FALSE: The Line Tracker will return a value anywhere between 0% and 100% light reflectivity.
",True
"True or False: The Location Sensor is located on the back of the VR Robot.
",False
"TRUE or FALSE: The locking tabs on a custom length V5 smart cable should be oriented in the same way, as shown in this image.

",False
"True or False: The Motor Options screen allows you to rename the directions that the motor spins from their default of “forward” and “reverse.”",True
"True or False: The snapshot block must be used before the object exists block.
",True
"True or False: The Track Drive is omni-directional and has the ability to travel over obstacles.
",False
"TRUE or FALSE: The V5 Brain can be used while the battery is connected to the Brain and charging.
",True
"True or False: The Vision Sensor must first be added to the robot configuration before vision sensing blocks will appear in VEXcode V5.
",True
"TRUE or FALSE: The Workcell Extensions are designed to further explore concepts covered in the STEM Labs and introduce students to additional sorting and automation concepts.
",True
"TRUE or FALSE: The Workcell Extensions include concepts from STEM Labs 1-12 to be further practiced, including diverters, single and multiple conveyors, line trackers, optical sensors, altered disk feeders, a user interface, and multiple Workcells.",True
"TRUE or FALSE: The Workcell lowers the barrier of entry to introduce students to industrial robotics in the classroom.
",True
"True or False: The [Forever] block is a C block that repeats the behaviors inside of it forever.",True
"True or False: The [Repeat] block can accept decimals as parameters.
",False
"True or False: the [Spin for] block can be used to code the drivetrain to turn left or right for a specific distance.

",False
"True or False: The [Turn for] block is used to turn a drivetrain right or left a specified distance.
",True
"True or False: The [Wait until] block is a Control block that accepts Boolean values.",True
"TRUE or FALSE: The ‘Arm Install' example project actually moves the motors connected to the potentiometers at each joint on the Workcell to their target location, while the 'Arm Mastering’ example project is used to verify and display the current mastering values so they can be recorded and used when coding the Workcell.
",True
"True or False: This block can be used as a condition.
",False
"True or False: This block can be used as a condition.",True
"True or False: To access Help for VEXcode VR blocks, select the Help icon and then select the block.
",True
"True or False: To rename a project select the project name box, enter project name, and select "Rename."",True
"True or False: Type vr.vex.com in the browser to launch VEXcode VR",True
"True or False: Type vr.vex.com in the browser to launch VEXcode VR.
",True
"True or False: VEX IQ Activities are only meant for use with VEX IQ (2nd generation) Kits.",False
"TRUE or FALSE: VEX PD+ is a subscription service that provides ongoing, personalized learning opportunities for VEX educators.
",True
"True or False: VIQC qualifying awards can include both Performance and Judged awards.
",True
"True or False: When a command is correctly typed into the Workspace, the code color will follow the VEXcode VR Python colorization conventions",True
"True or False: When a device is mounted and connected it also needs to be configured to ensure VEXcode V5 and the device communicate properly.
",True
"True or False: When configuring the Vision Sensor, it must be connected to the computer via a Smart Cable for the Vision Utility to launch.
",False
"True or False: You can purchase a VEXcode VR subscription from vr.vex.com",False
"TRUE or FALSE: [Broadcast and wait] blocks trigger both stacks of blocks to run at the same time.
",False
"True or False: [Broadcast] blocks are used to trigger robot behaviors.",True
"Using a robot to teach computer science makes abstract concepts less visible and concrete for young students.
",False
"Using build instructions in your classroom ______. Select the best answer.","Gives all students a consistent build experience"
"Using the 123 Robot and Coder with the 123 Field promotes exploration and experimentation by creating a ______ environment.
",controlled
"Using the Step button to see each command performed individually by the 123 Robot can help students ______.
","identify where an error is in their project"
"Using VEX 123 in a classroom environment ______.
","supports teachers and students to explore and experiment with coding"
"Verbalizing the path the VEX 123 Robot needs to drive is an example of _____________.","Spatial language"
"VEX 123 can be used in ______. Select the best answer.
","All of the above"
"VEX 123 enables ________ teachers to incorporate computer science into their teaching practices, regardless of prior experience. Select the best option.",all
"VEX 123 removes typical impediments to students learning Computer Science.",True
"VEX 123 STEM Labs can be used to support ______ in your classroom.
","social-emotional curriculum"
"VEX 123 ______. ","removes impediments to teaching computer science to young students"
"VEX EXP Activities ______.
","include tips that highlight build and design concepts"
"VEX GO Discovery Activities can best be described as ____________________.","Simple Activities using only 12 pieces in the VEX GO Kit that are designed to support spatial reasoning skills, and can be completed in under 15 minutes."
"VEX IQ Activities ______.","include tips that highlight build and design concepts"
"VEXcode EXP blocks will not run if they are not connected to ______.","The {When started} hat block"
"VEXcode IQ blocks will not run if they are not connected to ______.","The {When started} hat block"
"Visualizing a number line, estimating, geometry, 1:1 correspondence, and subitizing are all examples of:","Non-verbal spatial skills"
"What are environmental factors that affect what the Optical Sensor detects?",Lighting
"What are low profile bearing flats used for when building with VEX EXP?
","To allow shafts to turn more smoothly"
"What are post standoff retainers used for?
","To tighten screws without needing a wrench or pliers"
"What are Qualification Matches?
","Matches played after all teams are checked in that determine the ranking of teams for the later Elimination Matches"
"What are shaft collars used for in VEX EXP builds?
","To secure wheels and gears on a shaft"
"What are spacers used for in VEX EXP builds?
","Keeping mechanisms positioned correctly"
"What are the approximate coordinates for the number "51" on the Number Grid Map Playground?
","X: -900 millimeters (mm)
Y: 100 millimeters (mm)"
"What are the approximate coordinates for the number "56" on the Number Grid Map Playground?

","X: 100 millimeters (mm)
Y: 100 millimeters (mm)"
"What are the approximate coordinates for the number '13' on the Number Grid Map Playground?
","X: -500 millimeters (mm)
Y: -700 millimeters (mm)"
"What are the approximate coordinates for the number '33' on the Number Grid Map Playground?
","X: -500 millimeters (mm)
Y: -300 millimeters (mm)"
"What are the four different types of driver configurations?
","Dual Drive, left arcade, right arcade, and split arcade
"
"What are the four different types of driver configurations?"," Tank drive, left arcade, right arcade, and split arcade"
"What are the four main categories of VEX IQ parts?","Electronics, structural components, fasteners, and motion components"
"What are the numbers inside the plug icons indicating in this image from the build instructions?","Which ports on the Brain the motors should be connected to"
"What are the recommended steps for troubleshooting software?
","Check firmware and device configuration, then debug the VEXcode EXP project"
"What are the recommended steps for troubleshooting software?","Check firmware, Brain generation, and device configuration, then debug the VEXcode IQ project"
"What are the recommended steps to troubleshoot hardware?
","Check your power supply, cables, and Controller, then check that devices are reporting data as expected"
"What are the recommended steps to troubleshoot hardware?","Check your power supply, cables, and Controller, then check that devices are reporting data as expected"
"What are the steps to configure the VEX EXP Speed Build in VEXcode EXP?","Select the BaseBot from the templates in File -> Open Examples"
"What are the steps to download a PNG image from Google Slides?","File > Download > PNG image"
"What are the three basic phases of the engineering design process?","Define, Develop Solutions, Optimize
"
"What are the three foundational cognitive skills Claire Cameron refers to in the video?","Executive functioning skills, motor skills, and spatial skills"
"What are the three functions of the Pin Tool?","Pulling, pushing and prying"
"What are the three sections of the Competition Template?
","The three sections are 1) pre-autonomous, 2) autonomous, and 3) driver control."
"What are the two parts of a VEX Robotics Competition match?
","There is an autonomous portion and a driver control portion."
"What aspects of executive functioning must students employ when learning to read?","Working memory, self control, and cognitive flexibility"
"What block should be used next in this project to begin drawing the roof of the house?
","[Turn for] block set to 135 degrees"
"What building on the Castle Crasher Playground will be the THIRD knocked over according to this project?
",5
"What camp resource has a VEX 123 specific version?","Camp Manual Template
"
"What can be measured in the Motor Dashboard?
","Power, Torque, Velocity, Motor Degree, Revolutions, Gear Ratio"
"What can be used to change a robot's behavior?
",Commands
"What can students see by using the Step button?
","Commands being performed individually by the 123 Robot"
"What can the Color Sensor be used to detect and report? Select the best answer.
","Brightness and the proximity and color of an object"
"What can the Optical Sensor be used to detect and report? Select the best answer.
","All of the above"
"What can the Optical Sensor be used to detect and report? Select the best answer.","All of the above"
"What can the Optical Sensor detect and report?
","The proximity and color of an object, and the brightness of light surrounding the sensor"
"What can the [Repeat] block accept as parameters? Select the best answer.

","Integers or numeric blocks"
"What color is the Brain icon in VEXcode EXP when the firmware on a connected Brain is up to date?",Green
"What color is the Brain icon in VEXcode IQ when the firmware on a connected Brain is up to date?",Green
"What color is the Brain icon in VEXcode V5 when the firmware on a connected Brain is up to date?",Green
"What color lines can the VEX VR Pen draw using the [Set pen color] block?
","Green, Red, Black, and Blue"
"What color should the indicator lights blink on a VEX IQ (2nd gen) Controller and Brain when successfully paired?",Green
"What creates the magnetic field for the V5 Electromagnet?
","An electric current."
"What determines the coordinate system of the Workcell?

","The orientation of the Potentiometer at the center of the turntable"
"What do non-waiting blocks do in a VEXcode VR project?
","They allow the the stack to continue even if the block's behavior is not yet complete."
"What do waiting blocks do in a VEXcode VR project?
","Pause the stack until that block's behavior has been completed."
"What do you select to save a copy of the VEXcode EXP project?","‘Save As’"
"What does a Boolean block do?
","Reports a condition as etiher TRUE or FALSE."
"What does a C block do?
","Loop the block(s) within them checks if a condition is TRUE or FALSE."
"What does a drivetrain allow a robot to do?
","A drivetrain allows a robot to be mobile by using wheels, tank treads, or another method."
"What does a reporter block do?
","Reports values in the form of numbers"
"What does each Workcell Extension include?","Background information, construction details, and three different levels of challenges"
"What does it mean to capture a shaft in the VEX IQ system?","Fixing a component to a shaft so it will spin with the shaft without sliding"
"What does the 123 Robot use to interact with its environment?",Sensors
"What does the <Pressing bumper> block report if the Bumper Sensor is pressed?
","Reports TRUE."
"What does the Bumper Switch report?
","Pressed and Not Pressed (0 and 1) 
"
"What does the Bumper Switch report?","Pressed and Not Pressed"
"What does the code do based on Optical Sensor input in this VEXcode EXP project?
","Decides whether to turn right or left based on the color detected"
"What does the conditional evaluate in the [Wait until] block?
","Is the bumper pressed."
"What does the Distance Sensor do in this VEXcode EXP project?
","Has the robot turn 90 degrees when an object is less than 50 millimeters away"
"What does the green Controller icon at the top of VEXcode EXP indicate?","The Controller’s firmware is up to date"
"What does the green highlighting on the Coder indicate?
","The Coder card that is being actioned by the 123 Robot at that moment"
"What does the green-circled symbol mean in VEX build instructions?","Pay special attention to the part’s orientation and connection"
"What does the greenAccepted Boolean variable store after the first green disk has passed the Line Tracker?
","The variable reports 'true'."
"What does the highlighting feature do when a waiting block is being executed?
","A highlight will appear around the block until the behavior is complete."
"What does the Project Stepping Feature provide when using it with a project?
","It provides you with a visual representation of the flow of the commands as they are being executed within a project."
"What does the V5 Robot Battery use to indicate errors?
","Blinking red lights"
"What does the [Drive for] block do?
","It moves the drivetrain a specified distance forward or in reverse"
"What does the [Drive for] block do?","It moves the drivetrain a specified distance forward or in reverse"
"What does the [Drive for] block instruct the robot to do?
","Move the robot a specific distance forward or in reverse"
"What does the [Forever] block do in this project?
","Continuously checks if the Bumper Switch is pressed"
"What does the [Forever] block do in this project?","Continuously check if the Bumper Switch is pressed"
"What does this project do?","The robot will drive in reverse for 25mm, wait, and then drive forward for 50mm."
"What does this ‘2X’ mean in the build instructions?","That the current step shown should be completed twice"
"What does using comments in a project allow users to do?
","Describe parts of their project for other users"
"What feature highlight blocks as they progress through the project execution?
","The Step feature."
"What happens after the Bumper Switch in Port B is pressed?
","The robot turns right for 90 degrees."
"What happens in VEXcode GO when a Code Base is configured? Select the best answer.
","The necessary blocks appear in the Toolbox"
"What happens when you add the Code Base in the devices window in VEXcode GO?
","The appropriate blocks will appear in the Toolbox"
"What happens when you press the Stop button on the Coder?
","The project will stop, and the 123 Robot will stop moving"
"What happens when you shake the 123 Robot?","The project is erased"
"What images can you download from the Art Canvas+ Playground?","Both b and c"
"What information can the Distance Sensor report?
","When an object is present in front of the sensor"
"What information is found in the Pacing Guide? Select the best answer.
","All of the above"
"What information is included in the Content Standards document? Select the best answer.","Alignment of standards to STEM Labs"
"What information is included in the How and Where Standards are Reached document?","Specifics on how VEX IQ STEM Labs align to standards"
"What information is included in the steps of VEX GO build instructions? Select the best answer.","All of the above"
"What information is included in the Where and How Standards are Reached document?
","Specifics on how VEX EXP STEM Labs align to standards"
"What information is provided on the ‘Get Started with VEX 123’ page?","Links to help you get ready to teach with VEX 123"
"What information is reported by the Gyro Sensor?
","Heading and rotation"
"What is a behavior, in the context of computer science?
","A specific action that is performed by a robot"
"What is a behavior?
","An action performed by the robot."
"What is a benefit of including a manipulator in a robot’s design?
","Manipulators allow robots to interact with their environments."
"What is a manipulator?
","A device used by a robot to interact with and move objects."
"What is a programming language?
","A set of rules in which symbols represent actions"
"What is a recommended source for finding funding for robotics teams?
","The Robotics Education & Competition (REC) Foundation"
"What is a sequence, in the context of computer science?
","Ordering behaviors correctly to accomplish a task"
"What is a suggested way to evaluate student understanding of blocks?
","Using a Sample Block Worksheet"
"What is an advantage of duplicating a block? 
","It allows a user to create their projects faster and more easily."
"What is an Elimination Match?
","A match used in the process of determining the champion alliance"
"What is Arcade Control?
","A single joystick is moving left/right and up/down (both the X and Y axis) to control a robot."
"What is best described as “a mechanism that will completely stop its assigned equipment or electrical circuit?”
","Emergency stop (E-stop)"
"What is configured in this example?
","A 2-motor drivetrain"
"What is necessary to create a working VEXcode GO project? Select the best answer.
","All of the above"
"What is needed to code the 123 Robot with the Coder? Select the best answer.
","Coder cards"
"What is NOT included in tournaments that have 24 or more teams?
","Innovation Matches"
"What is NOT necessary to create a working project?
","Adding blocks into the project randomly."
"What is one purpose of the Facilitate step in the Play section of a STEM Lab?
","Provides discussion prompts on the goals of the activity"
"What is one reason why it is important to involve your students in the process of creating Robot Rules? 
","When students’ voices are heard and valued, they are more likely to take ownership over the rules and follow them in the classroom.
"
"What is one way to extend the learning around the frog habitat that is described in this Lesson?","Use VEX GO pieces to create an additional animal or creature that lives in the habitat"
"What is persistence?","The ability to see a task through to completion with focus"
"What is pseudocode?
","An informal way of writing your computer instructions in words so it is readable by anyone."
"What is Tank Control?
","Both joysticks on the V5 Controller are moving up and down (Y axis) to control the robot."
"What is the advantage of using the Bumper Switch on a robot?
","Have the robot perform certain behaviors depending on if the Bumper Switch is pressed or not pressed"
"What is the behavior of the V5 Electromagnet when the [Energize electromagnet] block is set to 'drop?'
","The electromagnet drops the disk."
"What is the best description of a hat block?
","They start a stack of blocks in a project and are shaped to attach blocks below them."
"What is the brain’s firmware?","The behind-the-scenes programming that allows the brain to interface with VEXcode V5 and to run the user projects"
"What is the condition that will end this [Repeat] block?
","After the VR Robot has driven forward 200 millimeters (mm) then turned right 60 degrees six times"
"What is the correct process to run the built in Drive program once both the Brain and Controller are turned on and paired?
","Select ‘Drive’ and then ‘Run’ 
"
"What is the correct process to run the built in Drive program once both the Brain and Controller are turned on and paired?"," Press the checkmark to select the highlighted Drive program, then press the checkmark again to run the program"
"What is the default velocity of the VR Robot?
",50%
"What is the Distance Sensor used for in this VEXcode IQ project?","To have the robot turn 90 degrees when an object is less than 50 millimeters away"
"What is the fastest way to configure the VEX IQ Speed Build in VEXcode IQ?","Click the Tutorials icon and choose ‘Device Setup - Drivetrain’"
"What is the first step for troubleshooting VEX EXP software?
","Check that firmware is up to date"
"What is the first step in coding the VR Robot to draw a red line?
","Drag the [Set Pen color]  block into the workspace and use the drop-down menu to set the color to "red""
"What is the first step in coding the VR Robot to move the VR Pen down to draw a black line?
","Drag the [Move pen] block into the workspace and use the drop-down menu to set the position to "down""
"What is the first step of the procedure for troubleshooting VEX IQ software?","Check that firmware is up to date"
"What is the first thing that needs to be done when arriving at a VEX Robotics Competition?","Check in and have the robot inspected"
"What is the first thing to do when arriving at a VEX Robotics Competition?
","Check in and have the robot inspected"
"What is the gear ratio for a 72 tooth driven gear and a 12 tooth driving gear?
","6:1 ratio"
"What is the goal of the Capstone Project competition?

","Design a Workcell that will sort all 36 randomly dispensed disks into their designated colored End Zones, as quickly as possible"
"What is the goal of the investigation using the Unpowered Super Car?","To test the effects of gravity on the Unpowered Super Car"
"What is the last step of the process to download a VEXcode IQ project from a device to the Brain?","Select the 'Download' button"
"What is the last step of the process to download a VEXcode IQ project to the Brain?
","Select the 'Download' button"
"What is the main purpose of the VEX V5 Bumper Switch?","To report if the switch is pressed or released, allowing the robot to interact with its environment"
"What is the maximum velocity setting for the VR Robot?
",100%
"What is the name for an action performed by a GO robot?
",Behavior
"What is the optimal size for images to be uploaded on the Art Canvas+ Playground?","1000 by 1000 pixels"
"What is the order in which behaviors will be executed in this project?
","Drive Forward until Left Bumper is pressed, Turn right for 90 degrees, Drive Forward until Left Bumper is pressed, Turn Left for 90 degrees, Drive Forward"
"What is the primary purpose of the "When started" or pre-autonomous portion in the Competition Template?","To allow for any set-up the robot may need such as calibrating a gyro, setting variables, or other device settings"
"What is the primary purpose of the Autonomous portion in the Competition Template?","To allow the robot to be controlled solely by the code in the autonomous stack without human intervention
"
"What is the primary purpose of the Driver Control portion in the Competition Template?","To create customized driver controls and allow human control of the robot
"
"What is the purpose of adding a timeout block when coding the V5 Clawbot claw?
","To prevent the claw from being damaged if coded past its range of motion."
"What is the purpose of having multiple [If then] blocks in this project?
","To have the Front Eye Sensor check for each color and have the VR Robot perform a discrete behavior depending on the color detected"
"What is the purpose of shafts in the VEX IQ system?","Shafts allow assemblies to spin or rotate, and can drive gears, wheels, or pulleys"
"What is the purpose of the Engage section of a VEX GO STEM Lab?
","To introduce the Lab and make connections between students and the main concepts"
"What is the purpose of the Letter Home in each STEM Lab Unit?
","To connect students' families to their in-class learning"
"What is the purpose of the VEX IQ Distance Sensor?
","To determine the distance from the front of the sensor to an object in front of it"
"What is the purpose of the welcome letter provided for each camp?","To communicate with parents and campers what to expect from camp
"
"What is the purpose of the [Wait] block in this code snippet?
","To spin the transport conveyor for a designated amount of time before moving on to the next block in the stack."
"What is the range of values used when setting velocity?
","0% to 100%"
"What is the role of Essential Questions in a STEM Lab Unit?
","They support teaching for understanding and are woven throughout the Labs"
"What is the role of the Scouts?
","They watch every match, record information about all of the robots at the competition, and then work with the Coach to prepare strategies for upcoming matches."
"What is the simplest way to identify the size of parts in the V5 kit?","Use the V5 Parts Ruler
"
"What is the structure of VEX EXP STEM Lab Units?
","Learn - Practice - Compete"
"What is the structure of VEX IQ (1st generation) STEM Labs?","Seek - Play - Apply - Rethink - Know"
"What is the structure of VEX IQ (2nd generation) STEM Lab Units?","Learn - Practice - Compete"
"What is the suggested length of day in each VEX 123 camp schedule?","Half day (three hours)
"
"What is the V5 Workcell Content Standards document?
","It shows the alignment of curricular standards to the Workcell STEM Labs"
"What is the V5 Workcell How and Where Standards are Reached document?
","Information on how Workcell STEM Labs align to standards"
"What is the value of using the Bumper Switch on a robot?","Have the robot perform certain behaviors depending on if the Bumper Switch is pressed or not pressed"
"What is the VEX Library?
","A searchable online library of information about VEX products and services"
"What is torque?
","The measure of a force causing an object to rotate about an axis"
"What is true of a gear ratio of 5:1?
","It will increase torque and lower speed. This is useful for being able to push other robots, lift and carry heavier objects, or climb hills."
"What is used to connect the V5 Brain and V5 Battery? 
","Battery cable"
"What is used to connect the V5 Brain to a device with app-based VEXcode V5 on an iPad?","A Bluetooth connection
"
"What is used to connect the V5 Brain to a device with web-based VEXcode V5?","A USB to micro-USB cable
"
"What materials are needed to power up a Coder for the first time?
","Two AAA batteries and a small screwdriver"
"What must happen for a downloaded program to run from the controller?","Choose the program then select run."
"What omni-directional drivetrain is shown here?","Kiwi Drive"
"What order will the buildings on the Castle Crasher Playground be knocked over according to this project?
","3, 2, 5, 4, 1"
"What order will this project check the condition the Front Eye Sensor is detecting?
","Green, blue, red"
"What part of the block do you select to change the direction of the [Drive for] block?
",1
"What percent should the [Set optical light power] block be set to, in order to improve the accuracy of the color detection?
",100%
"What process is this image showing?"," How to pair the Controller to the Brain"
"What resources are included in the teacher section of SPARK STEM Labs?","Preview, pacing guide, answer key, and letter home"
"What resources are included in the Teacher's Portal of VEX EXP STEM Lab Units?
","Facilitation guide, letter home, and a debrief conversation rubric"
"What resources are included in the Teacher's Portal of VEX IQ (2nd gen) STEM Lab Units?","Sample learning targets, facilitation guide, letter home, and a debrief conversation rubric"
"What resources are provided on a STEM Lab’s Build Instruction’s page?","Tips that refer to specific building steps, a visual list of the parts needed in each step, and a slideshow of the steps."
"What rotation value would the VEX GO Brain report if the Code Base turned right in 2 complete circles?
","720 degrees"
"What section of the Unit Overview provides information about making the STEM Lab Unit fit your unique classroom needs?
","Pacing Guide"
"What should you consider when comparing your build to the instructions? Select the best answer.","All of the above"
"What should you do before moving on to the next step in build instructions?","Carefully check your build against the illustration to make sure they match exactly"
"What technique can be used when deconstructing to make the process easier? Select the best answer.","All of the above"
"What triggers the exit conveyor motor to stop running in this code snippet?
","Exit Sensor reports a value greater than 20%."
"What two things can the Eye Sensor detect?
","If an object is present, and the color of the object"
"What type of block is shown here?
","Boolean block"
"What type of drivetrain is shown in this picture?","Standard Drive"
"What type of manipulator would be used to push objects without the use of a motor?
","A passive manipulator."
"What type of port does the Bumper Switch plug into?",3-Wire
"What type of value does the Line Tracker return?
","Percentage values from 0 to 100%"
"What types of values can the [Repeat] block accept as parameters?
","Positive integers"
"What types of values can the [Turn to heading] block NOT accept as parameters?
","Words or text"
"What types of values does the [Wait until] block accept?
","Boolean values: TRUE or FALSE."
"What value will the <Color sensing> Boolean block report when the Eye Sensor detects a different color than the one that was selected?
","It will report FALSE"
