Activity,Difficulty Level,CS Concept,Description,License Level,Playground,Key Programming Concepts,CSTA Standards
Searching for Minerals,4,Algorithms,Create an algorithm to find and use as many minerals possible during the Rover Rescue.,Premium,Rover Rescue,"Forward/Reverse Movement, Turning, Using the AI, Sensors, Conditional, Loops, Algorithms","1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process. 
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.
2-AP-12: Design and iteratively develop programs that combine control structures, including nested loops and compound conditionals.
2-AP-13: Decompose problems and subproblems into parts to facilitate the design, implementation and review of programs.
3A-AP-13: Create prototypes that use algorithms to solve computational problems by leveraging prior students knowledge and personal interests."
Sweep the Castle,4,Algorithms,Create an algorithm to clear every Castle building off of the Playground using the VR Robot in this constantly changing challenge.,Free,Dynamic Castle Crasher,"Forward/Reverse Movement, Turning, Eye Sensor, Distance Sensor, Timer Value, Conditionals, Loops","1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process. 
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended. 
2-AP-11: Create clearly named variables that represent different data types and perform operations on their values. 
3A-AP-14: Use lists to simplify solutions, generalizing computational problems instead of repeatedly using simple variables."
Dynamic Wall Maze,4,Algorithms,Create an algorithm to navigate the VR Robot through multiple wall mazes in this constantly changing challenge.,Free,Dynamic Wall Maze,"Forward/ Reverse Movement, Turning, Eye Sensor, Distance Sensor, Bumper switch, Conditionals","1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process. 
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended. 
2-AP-11: Create clearly named variables that represent different data types and perform operations on their values. "
Pixel World Adventure,4,Control,Follow the instructions to create mystery pixel art using loops!,Enhanced/Premium,Art Canvas +,"Forward/ Reverse Movement, Turning, Distance Sensor, Eye Sensor, Loops","1B-AP-10: Develop programs with sequences and simple loops, to express ideas or address a problem.
1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.
2-AP-13: Decompose problems and subproblems into parts to facilitate the design, implementation and review of programs.
3A-DA-09:Translate between different bit representations of real-world phenomena, such as characters, numbers and images"
Aiming Disks,4,Control,Maximize your score by launching discs into the 4 point Goal Zone.,Premium,VIQC Virtual Skills - Slapshot,"Forward/Reverse Movement, Turning, Sensors, Conditional, Loops, Algorithms","1B-AP-10: Develop programs with sequences and simple loops, to express ideas or address a problem.
1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended."
"
VRC GPS Sensor Navigation
 ",4,Variables,Use the GPS Sensor and the Pythagorean Theorem to design an algorithm to navigate Disco to any location.,Premium,VRC Virtual Skills - Spin Up,"Forward/ Reverse Movement, Turning, Variables, GPS Sensor","1B-AP-08: Compare and refine multiple algorithms for the same task and determine which is the most appropriate.
1B-AP-09: Create programs that use variables to store and modify data.
 2-AP-11: Create clearly named variables that represent different data types and perform operations on their values."
Face It,4,Variables,Use variables to store information and create different facial expressions!,Enhanced/Premium,Art Canvas +,"Forward/ Reverse Movements, Turning, Variables, Loops, Drawing with the Pen","1B-AP-09: Create programs that use variables to store and modify data.
1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.
2-AP-11: Create clearly named variables that represent different data types and perform operations on their values.
3A-DA-11: Create interactive data visualizations using software tools to help others better understand real-world phenomena.
3A-DA-12:Create computational models that represent the relationships among different elements of data collected from a phenomenon or process."
Maze Solver,5,Algorithms,Create an algorithm using sensors on the VR MazeBot to solve different mazes.,Enhanced/Premium,Wall Maze +,"Forward/ Reverse Movement, Turning, Distance Sensor, Eye Sensor, Loops, Conditionals,Printing Data","1B-AP-08: Compare and refine multiple algorithms for the same task and determine which is the most appropriate.
2-AP-12: Design and iteratively develop programs that combine control structures, including nested loops and compound conditionals.
2-AP-13: Decompose problems and subproblems into parts to facilitate the design, implementation and review of programs.
2-CS-02:  Design projects that combine hardware and software components to collect and exchange data.
3A-AP-13: Create prototypes that use algorithms to solve computational problems by leveraging prior students knowledge and personal interests."
Grid Map Spiral,5,Control,Draw a spiral that hits every square on the Grid Map using the Pen.,Free,Grid Map,"Loops, Variables, Drawing with the Pen","1B-AP-10: Develop programs with sequences and simple loops, to express ideas or address a problem.
1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.
2-AP-11: Create clearly named variables that represent different data types and perform operations on their values.
2-AP-12: Design and iteratively develop programs that combine control structures, including nested loops and compound conditionals."
Hidden Pixel Art,5,Variables,Use sensors on the VR Robot and 2D Lists (arrays) to discover artwork hidden under a gold colored roof.,Free,Hidden Pixel Art,"Forward/Reverse Movement, Turning, Eye Sensor, Printing Data, 2D Lists (arrays), Monitoring Values, Conditionals, Loops","1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process. 
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended. 
2-AP-11: Create clearly named variables that represent different data types and perform operations on their values. 
3A-AP-14: Use lists to simplify solutions, generalizing computational problems instead of repeatedly using simple variables."
Encoded Message,5,Variables,Use sensors on the VR Robot and Lists (arrays) to decode the message represented by binary ASCII characters.,Free,Castle Crasher,"Forward/Reverse Movement, Turning, Eye Sensor, Printing Data, Variables, Monitoring Values, Conditionals, Loops","1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process. 
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended. 
2-AP-11: Create clearly named variables that represent different data types and perform operations on their values. "
